Rank,Change,Player,School,Position,Height,Weight,Position2,Date
104,+1,Darrell Taylor,Tennessee,EDGE,"6'4""",247,SR,2020-01-03
105,-53,Samuel Cosmi,Texas,OT,"6'5""",295,RSO,2020-01-03
106,--,Antoine Winfield Jr.,Minnesota,S,"5'10""",207,JR,2020-01-03
107,NEW,Deonte Brown,Alabama,OG,"6'4""",338,JR,2020-01-03
108,-1,Larrell Murchison,NC State,DL3T,"6'3""",291,SR,2020-01-03
109,-1,Justin Jefferson,LSU,WRF,"6'2""",185,JR,2020-01-03
110,-1,Donovan Peoples-Jones,Michigan,WRF,"6'2""",208,JR,2020-01-03
111,-1,Anthony Hines,Texas A&M,OLB,"6'3""",226,RSO,2020-01-03
112,-24,Michael Pinckney,Miami (FL),OLB,"6'1""",220,SR,2020-01-03
113,-2,Dontavious Jackson,Florida State,ILB,"6'3""",233,SR,2020-01-03
114,-2,Brandon Jones,Texas,S,"6'0""",210,SR,2020-01-03
115,-2,Alton Robinson,Syracuse,EDGE,"6'4""",257,SR,2020-01-03
116,-1,Jonathan Garvin,Miami (FL),EDGE,"6'4""",250,JR,2020-01-03
117,+12,Cole Kmet,Notre Dame,TE,"6'6""",255,JR,2020-01-03
118,-1,Benito Jones,Ole Miss,DL1T,"6'1""",326,SR,2020-01-03
119,-1,Oluwole Betiku,Illinois,EDGE,"6'3""",240,RJR,2020-01-03
120,--,Cam Akers,Florida State,RBF,"5'11""",210,JR,2020-01-03
121,--,Joe Gaziano,Northwestern,DL5T,"6'4""",275,SR,2020-01-03
122,--,Raequan Williams,Michigan State,DL3T,"6'4""",298,SR,2020-01-03
123,--,Kevin Jarvis,Michigan State,OG,"6'4""",317,JR,2020-01-03
124,--,Dele Harding,Illinois,OLB,"6'1""",230,SR,2020-01-03
125,--,Kylin Hill,Mississippi State,RBC,"5'11""",215,JR,2020-01-03
126,+20,Chris Orr,Wisconsin,OLB,"6'0""",224,SR,2020-01-03
127,-1,K'Von Wallace,Clemson,S,"5'11""",210,SR,2020-01-03
128,-1,Tedarrell Slaton,Florida,DL1T,"6'5""",343,JR,2020-01-03
129,-1,Brycen Hopkins,Purdue,TE,"6'5""",245,RSR,2020-01-03
130,+74,Robert Hunt,Louisiana-Lafayette,OT,"6'5""",310,SR,2020-01-03
131,-2,A.J. Dillon,Boston College,RBF,"6'0""",245,JR,2020-01-03
132,-2,John Hightower,Boise State,WRF,"6'2""",184,SR,2020-01-03
133,-2,Lamar Jackson,Nebraska,CB,"6'2""",215,SR,2020-01-03
134,+8,T.J. McCoy,Louisville,OC,"6'1""",315,SR,2020-01-03
135,-3,Khalil Davis,Nebraska,DL1T,"6'2""",310,SR,2020-01-03
136,-3,Jordan Love,Utah State,QB,"6'4""",225,JR,2020-01-03
137,-84,Lloyd Cushenberry,LSU,OC,"6'3""",312,RJR,2020-01-03
138,-4,Anthony Gordon,Washington State,QB,"6'3""",210,RSR,2020-01-03
139,-4,K.J. Britt,Auburn,ILB,"6'0""",236,JR,2020-01-03
140,-4,Yasir Durant,Missouri,OT,"6'7""",330,SR,2020-01-03
141,-4,Jonah Jackson,Ohio State,OG,"6'3""",309,SR,2020-01-03
142,-4,Aaron Fuller,Washington,WRS,"5'11""",186,SR,2020-01-03
143,-4,Darrion Daniels,Nebraska,DL1T,"6'3""",320,RSR,2020-01-03
144,-4,Akeem Davis- Gaither,Appalachian State,OLB,"6'2""",210,SR,2020-01-03
145,-3,Davon Hamilton,Ohio State,DL3T,"6'4""",310,SR,2020-01-03
146,+22,Matt Hennessy,Temple,OC,"6'4""",295,JR,2020-01-03
147,-3,Damon Arnette,Ohio State,CB,"6'0""",195,SR,2020-01-03
148,-3,McTelvin Agim,Arkansas,DL5T,"6'3""",279,SR,2020-01-03
149,-3,Glen Logan,LSU,DL5T,"6'4""",297,RJR,2020-01-03
150,-3,Joe Bachie,Michigan State,ILB,"6'2""",238,SR,2020-01-03
151,-3,Khaleke Hudson,Michigan,OLB,"6'0""",220,SR,2020-01-03
152,-3,Lavert Hill,Michigan,CB,"5'11""",181,SR,2020-01-03
153,-52,Trey Smith,Tennessee,OG,"6'6""",337,JR,2020-01-03
154,-4,Ben Cleveland,Georgia,OG,"6'6""",335,JR,2020-01-03
155,-4,Kyle Dugger,Lenoir–Rhyne,S,"6'2""",205,SR,2020-01-03
156,-4,Rayshard Ashby,Virginia Tech,ILB,"5'10""",230,JR,2020-01-03
157,+25,Clyde Edwards-Helaire,LSU,RBF,"5'9""",212,JR,2020-01-03
158,-5,Jonathan Greenard,Florida,EDGE,"6'3""",263,SR,2020-01-03
159,-5,Richie Grant,UCF,S,"6'0""",194,RJR,2020-01-03
160,-5,Mustafa Johnson,Colorado,DL3T,"6'2""",290,SR,2020-01-03
161,-5,Darnay Holmes,UCLA,CB,"5'10""",198,JR,2020-01-03
162,-5,Lamical Perine,Florida,RBF,"5'11""",227,SR,2020-01-03
163,-5,John Simpson,Clemson,OG,"6'4""",330,SR,2020-01-03
164,+49,Ke'Shawn Vaughn,Vanderbilt,RBF,"5'10""",215,SR,2020-01-03
165,-6,James Proche,SMU,WRS,"5'11""",190,RSR,2020-01-03
166,+82,Kuony Deng,California,OLB,"6'6""",220,RJR,2020-01-03
167,-7,Patrick Johnson,Tulane,EDGE,"6'3""",255,JR,2020-01-03
168,-7,Nico Collins,Michigan,WRF,"6'4""",222,JR,2020-01-03
169,-7,Levante Bellamy,Western Michigan,RBC,"5'9""",185,SR,2020-01-03
170,-7,Antoine Brooks Jr.,Maryland,S,"5'11""",210,SR,2020-01-03
171,-7,Trevis Gipson,Tulsa,DL5T,"6'4""",268,RSR,2020-01-03
172,-7,Denzel Mims,Baylor,WRF,"6'3""",197,SR,2020-01-03
173,-7,Jeffrey McCulloch,Texas,ILB,"6'3""",245,SR,2020-01-03
174,-6,Jace Whittaker,Arizona,CB,"5'11""",185,RSR,2020-01-03
175,-6,Nick Coe,Auburn,DL5T,"6'5""",282,JR,2020-01-03
176,-6,Ross Blacklock,TCU,DL3T,"6'4""",305,JR,2020-01-03
177,-6,Mohamed Barry,Nebraska,ILB,"6'1""",245,SR,2020-01-03
178,-6,Zack Shackelford,Texas,OC,"6'4""",305,SR,2020-01-03
179,-6,Krys Barnes,UCLA,ILB,"6'1""",235,RJR,2020-01-03
180,NEW,Amik Robertson,Louisiana Tech,CB,"5'9""",183,JR,2020-01-03
181,-6,D.J. Wonnum,South Carolina,EDGE,"6'5""",255,SR,2020-01-03
182,-6,Jordan Elliott,Missouri,DL3T,"6'4""",315,RJR,2020-01-03
183,-6,Jashon Cornell,Ohio State,DL5T,"6'3""",280,RSR,2020-01-03
184,-6,Damien Lewis,LSU,OG,"6'2""",335,SR,2020-01-03
185,-6,Essang Bassey,Wake Forest,S,"5'10""",190,SR,2020-01-03
186,-4,Treshaun Hayward,Western Michigan,ILB,"6'1""",225,JR,2020-01-03
187,-4,Justin Strnad,Wake Forest,OLB,"6'3""",230,RSR,2020-01-03
188,-4,Bradlee Anae,Utah,EDGE,"6'3""",265,SR,2020-01-03
189,-4,Michael Warren II,Cincinnati,RBF,"5'11""",218,JR,2020-01-03
190,-4,Brandon Aiyuk,Arizona State,WRF,"6'0""",208,SR,2020-01-03
191,-4,Colby Parkinson,Stanford,TE,"6'7""",240,JR,2020-01-03
192,NEW,Caleb Huntley,Ball State,RBC,"5'10""",226,JR,2020-01-03
193,-5,Kamal Martin,Minnesota,ILB,"6'3""",235,SR,2020-01-03
194,-5,John Molchon,Boise State,OG,"6'5""",322,RSR,2020-01-03
195,-5,Luq Barcoo,San Diego State,CB,"6'1""",175,SR,2020-01-03
196,-5,K.J. Hill,Ohio State,WRF,"6'0""",195,SR,2020-01-03
197,-5,Alex Highsmith,Charlotte,EDGE,"6'3""",244,RSR,2020-01-03
198,-5,Kylan Johnson,Pitt,OLB,"6'2""",230,SR,2020-01-03
199,-5,Cam Brown,Penn State,ILB,"6'5""",230,SR,2020-01-03
200,-5,Terence Steele,Texas Tech,OT,"6'6""",310,SR,2020-01-03
201,-5,Trevon Hill,Miami (FL),EDGE,"6'3""",245,SR,2020-01-03
202,-5,O'Rien Vance,Iowa State,OLB,"6'1""",231,RSO,2020-01-03
203,-4,Terrell Burgess,Utah,S,"6'0""",194,SR,2020-01-03
204,-4,Juwuan Jones,Western Kentucky,DL5T,"6'3""",270,RSO,2020-01-03
205,-4,Levonta Taylor,Florida State,CB,"5'10""",181,SR,2020-01-03
206,-4,Alohi Gilman,Notre Dame,S,"5'11""",201,SR,2020-01-03
207,-4,Saahdiq Charles,LSU,OT,"6'5""",305,JR,2020-01-03
208,NEW,Stanford Samuels III,Florida State,CB,"6'2""",185,JR,2020-01-03
209,-4,Shane Buechele,SMU,QB,6'1'',207,JR,2020-01-03
210,NEW,Kamren Curl,Arkansas,S,"6'2""",198,JR,2020-01-03
211,-4,Carter Coughlin,Minnesota,OLB,"6'4""",245,SR,2020-01-03
212,-4,Eno Benjamin,Arizona State,RBF,"5'10""",201,JR,2020-01-03
213,-4,John Houston Jr.,USC,OLB,"6'3""",220,SR,2020-01-03
214,-3,Kenny Cooper,Georgia Tech,OC,"6'2""",305,SR,2020-01-03
215,-3,Simon Stepaniak,Indiana,OG,"6'4""",319,SR,2020-01-03
216,-3,Casey Toohill,Stanford,ILB,"6'4""",247,SR,2020-01-03
217,-3,J.R. Reed,Georgia,S,"6'1""",199,SR,2020-01-03
218,-3,Shaun Bradley,Temple,OLB,"6'1""",225,SR,2020-01-03
219,-3,Michael Onwenu,Michigan,OG,"6'3""",350,SR,2020-01-03
220,-3,Kendall Futrell,East Carolina,OLB,"6'2""",226,SR,2020-01-03
221,-3,Dante Olson,Montana,ILB,"6'3""",237,SR,2020-01-03
222,-3,Mike Hampton,South Florida,CB,"6'1""",180,JR,2020-01-03
223,-43,Salvon Ahmed,Washington,RBC,"5'11""",196,RJR,2020-01-03
224,-4,Kellen Mond,Texas A&M,QB,"6'2""",217,JR,2020-01-03
225,-4,Chase Lucas,Arizona State,CB,"6'0""",175,RJR,2020-01-03
226,-4,Jared Pinkney,Vanderbilt,TE,"6'4""",255,RJR,2020-01-03
227,-4,David Reese II,Florida,ILB,"6'1""",248,SR,2020-01-03
228,-4,T.J. Brunson,South Carolina,ILB,"6'0""",230,SR,2020-01-03
229,+134,Sterling Hofrichter,Syracuse,P,"5'9""",199,SR,2020-01-03
230,-5,Antonio Gandy-Golden,Liberty,WRF,"6'4""",216,SR,2020-01-03
231,-5,Trystan Colon-Castillo,Missouri,OC,"6'4""",315,JR,2020-01-03
232,-5,Kyahva Tezino,San Diego State,OLB,"6'0""",230,SR,2020-01-03
233,-5,Dominik Eberle,Utah State,PK,"6'2""",195,SR,2020-01-03
234,-5,T.J. Vasher,Texas Tech,WRF,"6'6""",190,JR,2020-01-03
235,-5,Tomon Fox,North Carolina,ILB,"6'3""",260,JR,2020-01-03
236,-5,Julian Blackmon,Utah,S,"6'1""",195,SR,2020-01-03
237,-5,Tyler Clark,Georgia,DL1T,"6'4""",300,SR,2020-01-03
238,-5,DeAngelo Malone,Western Kentucky,OLB,"6'4""",230,JR,2020-01-03
239,-5,Josiah Coatney,Ole Miss,DL3T,"6'4""",314,SR,2020-01-03
240,+244,Tony Jones Jr.,Notre Dame,RBF,"5'11""",227,JR,2020-01-03
241,-5,Chauncey Rivers,Mississippi State,DL5T,"6'3""",275,RSR,2020-01-03
242,-5,Tommy Kraemer,Notre Dame,OG,"6'6""",319,SR,2020-01-03
243,NEW,Javon Leake,Maryland,RBF,"6'0""",206,JR,2020-01-03
244,-6,Bryan Edwards,South Carolina,WRF,"6'3""",215,SR,2020-01-03
245,-6,Braden Mann,Texas A&M,P,"5'11""",195,SR,2020-01-03
246,-6,Benning Potoae,Washington,DL5T,"6'3""",285,SR,2020-01-03
247,-6,Willie Gay Jr.,Mississippi State,OLB,"6'2""",235,JR,2020-01-03
